,League,Team,Got Promoted,Is Promoted
0,Bundesliga,SC Freiburg,2015-2016,2016-2017
1,Bundesliga,Rasenballsport Leipzig,2015-2016,2016-2017
2,Premier League,FC Burnley,2015-2016,2016-2017
3,Premier League,FC Middlesbrough,2015-2016,2016-2017
4,Premier League,Hull City,2015-2016,2016-2017
5,La Liga,Deportivo Alavés,2015-2016,2016-2017
6,La Liga,'CD Leganés,2015-2016,2016-2017
7,La Liga,CA Osasuna,2015-2016,2016-2017
8,Seria A,Cagliari Calcio,2015-2016,2016-2017
9,Seria A,FC Crotone,2015-2016,2016-2017
10,Ligue 1,AS Nancy-Lorraine,2015-2016,2016-2017
11,Ligue 1,FCO Dijon,2015-2016,2016-2017
12,Ligue 1,FC Metz,2015-2016,2016-2017
13,Bundesliga,VfB Stuttgart,2016-2017,2017-2018
14,Bundesliga,Hannover 96,2016-2017,2017-2018
15,Premier League,Brighton & Hove Albion,2016-2017,2017-2018
16,Premier League,Huddersfield Town,2016-2017,2017-2018
17,Premier League,Newcastle United,2016-2017,2017-2018
18,La Liga,UD Levante,2016-2017,2017-2018
19,La Liga,FC Girona,2016-2017,2017-2018
20,La Liga,FC Getafe,2016-2017,2017-2018
21,Seria A,SPAL Ferrara,2016-2017,2017-2018
22,Seria A,Hellas Verona,2016-2017,2017-2018
23,Ligue 1,Racing Strasbourg,2016-2017,2017-2018
24,Ligue 1,SC Amiens,2016-2017,2017-2018
25,Ligue 1,ES Troyes AC,2016-2017,2017-2018
26,Bundesliga,Fortuna Düsseldorf,2017-2018,2018-2019
27,Bundesliga,1. FC Nürnberg,2017-2018,2018-2019
28,Premier League,Wolverhampton Wanderers,2017-2018,2018-2019
29,Premier League,Cardiff City,2017-2018,2018-2019
30,Premier League,FC Fulham,2017-2018,2018-2019
31,La Liga,Rayo Vallecano,2017-2018,2018-2019
32,La Liga,SD Huesca,2017-2018,2018-2019
33,La Liga,Real Valladolid,2017-2018,2018-2019
34,Seria A,FC Empoli,2017-2018,2018-2019
35,Seria A,Parma Calcio,2017-2018,2018-2019
36,Seria A,Frosinone Calcio,2017-2018,2018-2019
37,Ligue 1,Olympique Nîmes,2017-2018,2018-2019
38,Ligue 1,Stade Reims,2017-2018,2018-2019
39,Bundesliga,1. FC Köln,2018-2019,2019-2020
40,Bundesliga,SC Paderborn 07,2018-2019,2019-2020
41,Bundesliga,1. FC Union Berlin,2018-2019,2019-2020
42,Premier League,Norwich City,2018-2019,2019-2020
43,Premier League,Sheffield United,2018-2019,2019-2020
44,Premier League,Aston Villa,2018-2019,2019-2020
45,La Liga,CA Osasuna,2018-2019,2019-2020
46,La Liga,FC Granada,2018-2019,2019-2020
47,La Liga,RCD Mallorca,2018-2019,2019-2020
48,Seria A,Hellas Verona,2018-2019,2019-2020
49,Seria A,US Lecce ,2018-2019,2019-2020
50,Seria A,Brescia Calcio,2018-2019,2019-2020
51,Ligue 1,FC Metz,2018-2019,2019-2020
52,Ligue 1,Stade Brest,2018-2019,2019-2020
53,Bundesliga,Arminia Bielefeld,2019-2020,2020-2021
54,Bundesliga,VfB Stuttgart,2019-2020,2020-2021
55,Premier League,Leeds United,2019-2020,2020-2021
56,Premier League,West Bromwich Albion,2019-2020,2020-2021
57,Premier League,FC Fulham,2019-2020,2020-2021
58,La Liga,SD Huesca,2019-2020,2020-2021
59,La Liga,FC Cádiz,2019-2020,2020-2021
60,La Liga,FC Elche,2019-2020,2020-2021
61,Seria A,Benevento Calcio,2019-2020,2020-2021
62,Seria A,Spezia Calcio,2019-2020,2020-2021
63,Seria A,FC Crotone,2019-2020,2020-2021
64,Ligue 1,FC Lorient,2019-2020,2020-2021
65,Ligue 1,RC Lens,2019-2020,2020-2021
66,Bundesliga,VfL Bochum,2020-2021,2021-2022
67,Bundesliga,SpVgg Greuther Fürth,2020-2021,2021-2022
68,Premier League,Norwich City,2020-2021,2021-2022
69,Premier League,FC Watford,2020-2021,2021-2022
70,Premier League,FC Brentford,2020-2021,2021-2022
71,La Liga,RCD Espanyol Barcelona,2020-2021,2021-2022
72,La Liga,RCD Mallorca,2020-2021,2021-2022
73,Seria A,FC Empoli,2020-2021,2021-2022
74,Seria A,US Salernitana,2020-2021,2021-2022
75,Seria A,FC Venedig,2020-2021,2021-2022
76,Ligue 1,Clermont Foot,2020-2021,2021-2022
77,Ligue 1,ES Troyes AC,2020-2021,2021-2022
